budget,homepage,id,original_language,popularity,release_date,revenue,runtime,status,title,vote_average,vote_count,genre1,genre2,genre3,genre4,genre5,genre6,genre7
3000000,http://www.tsotsimovie.com/,868,af,2.504169,8/18/2005,9879971,94,Released,Tsotsi,6.9,94,80,18,,,,,
0,http://www.thesquarefilm.com/,159037,ot,4.892203,6/7/2013,0,88,Released,The Square,7.8,55,99,18,36,,,,
0,http://www.bacfilms.com/site/caramel/,7973,ot,4.554574,7/1/2007,0,96,Released,Caramel,6.8,52,18,35,10749,,,,
36000000,,365222,cn,19.167377,12/19/2015,156844753,105,Released,Ip Man 3,6.5,379,28,18,36,,,,
7500000,,33542,cn,17.318839,1/30/1995,32392047,91,Released,Rumble in the Bronx,6.5,240,80,28,35,53,,,
0,,11770,cn,17.54768,7/12/2001,42776760,113,Released,Shaolin Soccer,6.6,491,28,35,,,,,
25000000,,290864,cn,6.895866,10/31/2014,0,100,Released,Kung Fu Jungle,6.5,114,80,28,53,,,,
0,,13688,cn,12.373248,1/30/2008,47301471,86,Released,CJ7,6.1,107,35,18,10751,14,878,,
20000000,,9470,cn,13.658985,2/10/2004,100914445,99,Released,Kung Fu Hustle,7.2,831,28,35,80,14,,,
4500000,,13807,cn,8.48639,9/6/2006,0,110,Released,Exiled,7,46,28,80,53,,,,
0,,12207,cn,15.046612,2/3/1994,0,102,Released,The Legend of Drunken Master,7.2,242,28,35,,,,,
0,,277519,cn,0.542814,6/19/2014,0,92,Released,Z Storm,5.8,5,80,53,,,,,
0,,244339,cn,1.583918,3/10/2013,0,107,Released,Out of Inferno,5.8,11,28,,,,,,
12716953,,10622,cn,7.077505,1/31/1997,18814720,113,Released,Mr. Nice Guy,6.3,128,80,28,35,,,,
23000000,http://www.bodyguardsandassassins.com/,30596,cn,7.876883,12/18/2009,5837674,139,Released,Bodyguards and Assassins,6.5,57,18,28,36,,,,
0,https://www.facebook.com/eastsidestorymovie,357837,ot,0.186234,10/16/2015,0,89,Post Production,Dancin' It's On,4.3,2,18,10749,,,,,
0,http://www.anglickykral.cz/,12555,ot,2.387463,12/19/2006,0,120,Released,I Served the King of England,7,22,35,18,,,,,
1300000,http://nimbusfilm.dk/film/festen/?lang=en,309,da,10.240917,5/20/1998,0,105,Released,The Celebration,7.7,207,18,,,,,,
6500000,http://www.flammenogcitronen.dk/,8883,da,7.028946,3/25/2008,0,130,Released,Flame & Citron,6.8,68,80,18,36,10752,,,
3800000,,103663,da,21.826888,8/28/2012,16800000,115,Released,The Hunt,7.9,927,18,,,,,,
0,,48035,da,3.225189,1/9/1955,0,126,Released,Ordet,7.8,65,18,,,,,,
35000000,,9029,da,38.100488,5/7/2008,170000000,99,Released,What Happens in Vegas,5.8,923,35,10749,,,,,
7400000,,62215,da,36.173598,5/26/2011,21817298,136,Released,Melancholia,7,885,18,878,,,,,
14200000,,1951,da,7.05145,5/16/2005,674918,139,Released,Manderlay,6.9,78,18,,,,,,
5000000,http://www.soul-kitchen-film.com/?l=en,31175,de,5.461487,9/9/2009,17872796,99,Released,Soul Kitchen,7.1,116,18,35,,,,,
14000000,http://www.dasboot.com,387,de,26.967494,9/16/1981,85000000,149,Released,Das Boot,7.9,613,28,18,36,10752,12,,
1530000,,104,de,27.36562,8/20/1998,7267585,81,Released,Run Lola Run,7.2,664,28,18,53,,,,
15238800,http://www.sonyclassics.com/thewhiteribbon/,37903,de,17.94739,5/21/2009,0,144,Released,The White Ribbon,7.2,255,80,18,9648,,,,
0,,1698,de,5.025938,2/3/2000,0,103,Released,Anatomy,6.1,61,27,53,,,,,
4800000,http://www.good-bye-lenin.de/index2.php,338,de,11.086001,2/9/2003,79384880,121,Released,"Good bye, Lenin!",7.4,586,35,18,10749,,,,
0,,2211,de,2.832628,2/10/1999,0,125,Released,Aimee & Jaguar,6.3,20,18,36,10749,,,,
0,,905,de,1.824184,1/30/1929,0,109,Released,Pandora's Box,7.6,45,18,53,10749,,,,
0,http://www.kdt.film.de/,50135,de,8.010046,10/7/2010,0,93,Released,Animals United,5.5,90,16,10751,35,,,,
0,,12602,de,1.296784,10/5/1967,0,85,Released,The Torture Chamber of Dr. Sadism,6.3,12,9648,27,36,,,,
2700000,http://www.sommersturm.de/main.html,342,de,3.120747,9/2/2004,0,98,Released,Summer Storm,6.7,59,35,18,,,,,
7500000,http://www.welle.film.de/,7735,de,25.281197,3/11/2008,19000000,107,Released,The Wave,7.5,841,18,53,,,,,
2000000,,582,de,34.938177,3/15/2006,70000000,137,Released,The Lives of Others,7.9,958,18,53,,,,,
0,,1591,de,3.481517,12/11/2001,0,140,Released,Nowhere in Africa,7,32,18,,,,,,
0,,53256,de,5.937602,12/23/2010,2611555,119,Released,Three,6.3,31,10749,18,35,,,,
1500000,http://www.hashtaghorror.com/,301325,de,2.815228,11/20/2015,0,90,Released,#Horror,3.3,52,18,9648,27,53,,,
27000000,http://www.bmk.film.de/,6968,de,7.727035,9/24/2008,0,150,Released,The Baader Meinhof Complex,7.1,157,28,80,18,36,53,,
0,,53953,de,0.716764,8/8/2006,0,0,Released,The Tooth Fairy,4.3,13,27,,,,,,
1000000,,96534,de,0.153625,6/11/2011,0,90,Released,My Last Day Without You,5.7,3,35,18,10749,,,,
0,,322443,de,0.803761,2/27/2015,0,81,Released,The Timber,4.1,15,12,18,37,,,,
2500000,,254472,de,4.270489,7/3/2015,0,87,Released,Stung,4.9,63,35,27,,,,,
36000000,,75531,de,1.068453,1/28/2000,3003296,95,Released,Isn't She Great,4.6,14,18,35,,,,,
0,,71547,de,0.219799,10/13/2004,0,95,Released,Fascination,3.8,4,10749,53,,,,,
913000,,292539,de,0.795698,4/26/2014,0,83,Released,Food Chains,7.4,8,99,,,,,,
0,http://www.cargoderfilm.ch http://cargothemovie.com,34069,de,10.142218,9/24/2009,0,120,Released,Cargo,5.9,140,53,9648,878,,,,
18339750,http://www.downfallthefilm.com/,613,de,32.445895,9/8/2004,92180910,156,Released,Downfall,7.7,1037,18,36,10752,,,,
92620000,,19,de,32.351527,1/10/1927,650422,153,Released,Metropolis,8,657,18,878,,,,,
0,http://www.dogtooth.gr/,38810,ot,28.858238,6/1/2009,110197,94,Released,Dogtooth,6.9,332,18,,,,,,
0,,1123,en,4.052219,10/27/2006,4291965,101,Released,Catch a Fire,6.4,25,28,18,53,,,,
0,,22600,en,1.717376,2/11/2008,0,120,Released,Gangster's Paradise: Jerusalema,6.8,16,18,28,80,10769,,,
100000000,,1372,en,52.792678,12/7/2006,170877916,143,Released,Blood Diamond,7.3,2281,18,53,28,,,,
30000000,http://www.d-9.com/,17654,en,63.13678,8/5/2009,210819611,112,Released,District 9,7.3,3382,878,,,,,,
70000000,,612,en,29.035222,12/22/2005,130358911,164,Released,Munich,6.9,696,18,28,36,53,,,
55000000,,9315,en,32.05145,9/22/2005,223387299,98,Released,Flightplan,6.1,772,53,18,9648,,,,
42000000,,1830,en,34.828241,9/16/2005,24127895,122,Released,Lord of War,7,1335,80,18,53,,,,
25000000,,1164,en,25.785925,9/8/2006,135330182,143,Released,Babel,6.9,1055,18,,,,,,
50000000,http://syrianamovie.warnerbros.com/,231,en,16.871194,11/23/2005,94000000,128,Released,Syriana,6.3,451,18,53,,,,,
32000000,http://www.teamamerica.com,3989,en,26.509175,10/10/2004,50907422,98,Released,Team America: World Police,6.6,660,10402,12,16,28,35,,
9000000,,12454,en,2.872281,5/17/2002,0,128,Released,All or Nothing,7,33,35,18,,,,,
0,http://www.lionsgate.com/religulous/,13007,en,9.774126,10/1/2008,0,101,Released,Religulous,7.2,197,35,99,,,,,
130000000,http://www.kingdomofheavendvd.com/,1495,en,44.490453,5/3/2005,211643158,144,Released,Kingdom of Heaven,6.6,1157,18,28,12,36,10752,,
2700000,,17264,en,11.35972,10/17/1979,37799643,118,Released,The Black Stallion,7,59,12,10751,,,,,
90000000,,9008,en,26.153669,10/28/1999,60289912,157,Released,The Insider,7.3,481,18,53,,,,,
15000000,,297596,en,10.48009,12/4/2014,0,94,Released,Dying of the Light,4.5,118,53,18,,,,,
68000000,http://www.paramount.com/movies/sum-all-fears,4614,en,22.392544,5/31/2002,193000000,124,Released,The Sum of All Fears,5.9,437,53,28,18,,,,
75000000,http://www.charliewilsonswar.net/,6538,en,18.70031,12/19/2007,119000410,102,Released,Charlie Wilson's War,6.5,338,35,18,36,,,,
15000000,,947,en,41.286336,12/10/1962,69995385,216,Released,Lawrence of Arabia,7.8,851,12,18,36,10752,,,
967686,http://www.four-lions.co.uk/,37495,en,20.544999,5/7/2010,4270000,101,Released,Four Lions,7,423,35,80,18,,,,
50000000,http://www.thirteenhoursmovie.com/,300671,en,42.526529,1/13/2016,69411370,144,Released,13 Hours: The Secret Soldiers of Benghazi,7,938,28,18,36,53,10752,,
20000000,,8975,en,7.679336,10/13/2006,22165608,92,Released,The Marine,5,163,28,12,18,53,,,
70000000,http://www.thekingdommovie.com/,4349,en,26.123705,8/22/2007,86658558,110,Released,The Kingdom,6.5,513,53,28,18,,,,
70000000,http://wwws.warnerbros.co.uk/bodyoflies/,12113,en,37.507136,10/10/2008,113280098,128,Released,Body of Lies,6.5,895,28,18,53,,,,
30000000,http://www.machinegunpreacher.org/movie/,45610,en,13.268936,9/23/2011,2527904,129,Released,Machine Gun Preacher,6.4,286,28,53,80,,,,
0,,121676,en,6.783053,9/14/2012,0,93,Released,Inescapable,5.2,13,53,10749,,,,,
34000000,,1883,en,19.822791,11/18/1992,48169908,202,Released,Malcolm X,7.2,370,18,36,,,,,
27500000,http://www.renditionmovie.com,5125,en,12.741073,9/7/2007,24748670,120,Released,Rendition,6.2,205,18,53,,,,,
6000000,,1777,en,16.20985,6/25/2004,119114517,122,Released,Fahrenheit 9/11,6.8,397,99,,,,,,
60000000,http://www.theterminal-themovie.com/,594,en,57.753914,6/17/2004,219417255,128,Released,The Terminal,7,1910,35,18,,,,,
12000000,,16727,en,3.604863,9/2/2006,20138836,122,Released,The Namesake,6.8,50,18,,,,,,
70000000,http://www.skycaptain.com/,5137,en,24.664776,9/17/2004,57958696,107,Released,Sky Captain and the World of Tomorrow,5.7,439,9648,28,53,878,12,,
10000000,http://www.inthelandofbloodandhoney.com/,79777,en,4.267466,12/23/2011,303877,127,Released,In the Land of Blood and Honey,5.8,45,18,10749,10752,,,,
30000000,,11702,en,9.607391,2/6/1998,19204929,87,Released,The Replacement Killers,6,127,28,18,80,53,,,
50000000,,2649,en,62.925175,9/12/1997,109423648,129,Released,The Game,7.5,1506,18,53,9648,,,,
92000000,,1535,en,27.166757,11/18/2001,143049560,126,Released,Spy Game,6.8,579,28,80,53,,,,
0,http://www.examthemovie.com/,29917,en,20.265518,6/19/2009,0,101,Released,Exam,6.6,523,53,9648,,,,,
0,,39851,en,1.464566,9/1/2004,0,111,Released,Clean,6.7,17,18,,,,,,
60000000,http://sinbad-themovie.com/main.html,14411,en,18.815442,7/2/2003,26288320,86,Released,Sinbad: Legend of the Seven Seas,6.6,372,10751,16,12,,,,
25000000,,10431,en,18.896239,8/24/2007,40452643,103,Released,War,6,414,28,53,80,,,,
90000000,,5175,en,35.814765,8/3/2001,347325802,90,Released,Rush Hour 2,6.4,1054,28,35,80,53,,,
25000000,,9455,en,4.068107,3/12/1999,15156200,110,Released,The Corruptor,6,57,28,80,9648,53,,,
